vehicles,cores,seed,completion_rate,loss_rate,p50_ns,p90_ns,p99_ns,p999_ns,max_ns,max_queue_depth,utilization,deadline_ns,mean_verify_ns
50,2,2,1.000000,0.000000,3895295,6782975,8204287,8204287,8204287,3,0.712670,100000000,2905894.0
50,2,3,1.000000,0.000000,3942399,6057983,9043967,9043967,9043967,4,0.705906,100000000,2905894.0
50,2,4,1.000000,0.000000,3522559,5595135,6324223,6324223,6324223,3,0.715032,100000000,2905894.0
50,2,5,1.000000,0.000000,3710975,7507967,9797631,9797631,9797631,5,0.701445,100000000,2905894.0
50,2,6,1.000000,0.000000,3653631,5345279,5795839,5795839,5795839,2,0.705897,100000000,2905894.0
50,2,7,1.000000,0.000000,4014079,6270975,7020543,7020543,7020543,4,0.700685,100000000,2905894.0
50,2,8,1.000000,0.000000,3518463,5730303,8470527,8470527,8470527,3,0.711350,100000000,2905894.0
50,2,9,1.000000,0.000000,3862527,6729727,9379839,9379839,9379839,5,0.705215,100000000,2905894.0
50,2,10,1.000000,0.000000,4057087,7024639,9060351,9060351,9060351,4,0.698361,100000000,2905894.0
50,4,1,1.000000,0.000000,3420159,3627007,4087807,4087807,4087807,1,0.351566,100000000,2905894.0
50,4,2,1.000000,0.000000,3395583,3620863,3860479,3860479,3860479,1,0.360579,100000000,2905894.0
50,4,3,1.000000,0.000000,3426303,3629055,4399103,4399103,4399103,2,0.352962,100000000,2905894.0
50,4,4,1.000000,0.000000,3430399,3571711,4481023,4481023,4481023,0,0.359220,100000000,2905894.0
50,4,5,1.000000,0.000000,3426303,3579903,5406719,5406719,5406719,3,0.358408,100000000,2905894.0
50,4,6,1.000000,0.000000,3416063,3545087,3647487,3647487,3647487,0,0.352219,100000000,2905894.0
50,4,7,1.000000,0.000000,3403775,3729407,4407295,4407295,4407295,1,0.358155,100000000,2905894.0
50,4,8,1.000000,0.000000,3387391,3616767,4554751,4554751,4554751,1,0.357306,100000000,2905894.0
50,4,9,1.000000,0.000000,3428351,3586047,4632575,4632575,4632575,1,0.354262,100000000,2905894.0
50,4,10,1.000000,0.000000,3379199,3500031,3575807,3575807,3575807,0,0.352752,100000000,2905894.0
50,8,1,1.000000,0.000000,3416063,3540991,3762175,3762175,3762175,0,0.176517,100000000,2905894.0
50,8,2,1.000000,0.000000,3385343,3536895,3860479,3860479,3860479,0,0.180289,100000000,2905894.0
50,8,3,1.000000,0.000000,3405823,3553279,4399103,4399103,4399103,0,0.176645,100000000,2905894.0
