group,name,iterations,median_ns,mean_ns,ci95_lo_ns,ci95_hi_ns,min_ns,p99_ns,bytes,memory_bytes,below_clock_resolution,L,R,backend,baseline,batch_size,chain_depth,delta,disclosure_fraction,entries,epsilon,escrow,escrow_ms,fp_analytic,fp_measured,fp_target,k,layer1_ms,mean_delay_ns,mechanism,mode,modexps,n,n_authorities,n_batch,n_disclosed,n_hashes,path,quantum_ns,reduced_iterations,replay_ms,revocation_ms,sensitivity_ns,shift_ns,special_rsa_modulus,t_max_ns,truncation_delta,unattributed_ms,variant,worst_case_delay_ns
revocation,r1-crl-hashset-hit,1000,11.250,11.547,11.250,11.660,10.830,14.580,,65142,false,,1000,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r1,
revocation,r1-crl-hashset-miss,1000,9.580,9.472,9.580,9.580,8.750,10.000,,65142,false,,1000,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r1,
revocation,r1-crl-linear-miss,200,625.000,617.520,625.000,625.000,583.000,625.000,,56000,false,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,r1-linear,
revocation,r2-bloom-miss,1000,107.910,108.211,107.500,107.910,106.670,125.000,,1200,false,,1000,,,100,,,,,,,,0.010034531962677978,0.0084,0.01,,,,,,,,,,,7,,,,,,,,,,,,r2,
revocation,r2-bloom-miss,1000,107.920,105.747,107.920,107.920,95.830,110.420,,1800,false,,1000,,,100,,,,,,,,0.0009998263715094177,0.0004,0.001,,,,,,,,,,,10,,,,,,,,,,,,r2,
revocation,r1-crl-hashset-hit,1000,11.250,11.375,11.250,11.250,10.830,11.670,,651428,false,,10000,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r1,
revocation,r1-crl-hashset-miss,1000,11.250,12.073,11.250,11.250,10.830,14.590,,651428,false,,10000,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r1,
revocation,r1-crl-linear-miss,200,6917.000,6932.085,6917.000,6917.000,6875.000,7083.000,,560000,false,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,r1-linear,
revocation,r2-bloom-miss,1000,107.080,106.860,107.080,107.080,95.410,108.750,,11984,false,,10000,,,100,,,,,,,,0.010039010484203732,0.01,0.01,,,,,,,,,,,7,,,,,,,,,,,,r2,
revocation,r2-bloom-miss,1000,112.080,112.491,112.080,112.080,111.250,115.420,,17976,false,,10000,,,100,,,,,,,,0.0010000189402619613,0.0012,0.001,,,,,,,,,,,10,,,,,,,,,,,,r2,
revocation,r1-crl-hashset-hit,1000,11.250,11.545,11.250,11.250,10.830,11.670,,6514285,false,,100000,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r1,
revocation,r1-crl-hashset-miss,1000,9.580,9.345,9.170,9.580,8.330,9.590,,6514285,false,,100000,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r1,
revocation,r1-crl-linear-miss,50,73375.000,73598.240,73375.000,73416.000,73250.000,79292.000,,5600000,false,,100000,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,r1-linear,
revocation,r2-bloom-miss,1000,106.670,105.919,106.670,106.670,95.000,107.920,,119816,false,,100000,,,100,,,,,,,,0.010039209581758123,0.0089,0.01,,,,,,,,,,,7,,,,,,,,,,,,r2,
revocation,r2-bloom-miss,1000,100.840,106.063,100.830,100.840,100.000,135.420,,179720,false,,100000,,,100,,,,,,,,0.001000023754997981,0.0006,0.001,,,,,,,,,,,10,,,,,,,,,,,,r2,
revocation,r1-crl-hashset-hit,1000,11.250,11.446,11.250,11.660,9.590,12.080,,65142857,false,,1000000,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r1,
revocation,r1-crl-hashset-miss,1000,9.580,9.440,9.580,9.580,8.750,11.250,,65142857,false,,1000000,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r1,
revocation,r2-bloom-miss,1000,107.080,107.370,107.080,107.080,105.830,122.500,,1198136,false,,1000000,,,100,,,,,,,,0.010039214559253868,0.0085,0.01,,,,,,,,,,,7,,,,,,,,,,,,r2,
revocation,r2-bloom-miss,1000,107.920,108.490,107.920,107.920,107.080,110.840,,1797200,false,,1000000,,,100,,,,,,,,0.0010000247179482108,0.0016,0.001,,,,,,,,,,,10,,,,,,,,,,,,r2,
replay,nonce-cache-insert,1000,166.000,147.248,125.000,166.000,83.000,208.000,,194285,false,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
replay,nonce-cache-insert,1000,166.000,150.768,166.000,166.000,83.000,250.000,,19428571,false,,,,,,,,,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer2,m-pad-delay,1000,0.000,15.503,0.000,0.000,0.000,42.000,,,true,,,,,,,,,,,,,,,,,,,m-pad,,,,,,,,,,,,,,,,1222400,,,,
layer2,m-geo-delay,1000,333.000,285.754,291.000,333.000,41.000,792.000,,,false,,,,,,,0.000001,,,0.1,,,,,,,,16061773,m-geo,,,,,,,,,,,,,122400,16061773,,,,,,
layer2,m-bucket-delay,1000,292.000,231.837,291.000,292.000,0.000,750.000,,,false,,,,,,,0.000001,,,0.1,,,,,,,,,m-bucket,,,,,,,,,250000,,,,,,,,1,,,16500000
layer2,m-geo-delay,1000,333.000,285.003,291.000,333.000,41.000,792.000,,,false,,,,,,,0.000001,,,0.5,,,,,,,,3212355,m-geo,,,,,,,,,,,,,122400,3212355,,,,,,
layer2,m-bucket-delay,1000,333.000,272.620,333.000,333.000,0.000,792.000,,,false,,,,,,,0.000001,,,0.5,,,,,,,,,m-bucket,,,,,,,,,250000,,,,,,,,0.0000000034875129233695825,,,16500000
layer2,m-geo-delay,1000,333.000,286.098,291.000,333.000,41.000,750.000,,,false,,,,,,,0.000001,,,1,,,,,,,,1606177,m-geo,,,,,,,,,,,,,122400,1606177,,,,,,
layer2,m-bucket-delay,1000,334.000,316.120,333.000,334.000,0.000,1041.000,,,false,,,,,,,0.000001,,,1,,,,,,,,,m-bucket,,,,,,,,,250000,,,,,,,,0.00000000000000000000005187207255785787,,,16500000
layer2,m-geo-delay,1000,333.000,290.033,291.000,333.000,41.000,792.000,,,false,,,,,,,0.000001,,,2,,,,,,,,803089,m-geo,,,,,,,,,,,,,122400,803089,,,,,,
layer2,m-bucket-delay,1000,375.000,383.583,375.000,375.000,0.000,1208.000,,,false,,,,,,,0.000001,,,2,,,,,,,,,m-bucket,,,,,,,,,250000,,,,,,,,0.000000000000000000000000000000000000000000000000003687363601851317,,,16500000
layer2,m-geo-delay,1000,333.000,293.378,291.000,333.000,41.000,833.000,,,false,,,,,,,0.000001,,,5,,,,,,,,321235,m-geo,,,,,,,,,,,,,122400,321235,,,,,,
layer2,m-bucket-delay,1000,375.000,424.530,375.000,375.000,0.000,1542.000,,,false,,,,,,,0.000001,,,5,,,,,,,,,m-bucket,,,,,,,,,250000,,,,,,,,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000023216362231841645,,,16500000
baseline,mtls-ed25519-verify,1000,53334.000,53521.629,53333.000,53334.000,47792.000,64083.000,256,,false,,,,mtls-ed25519,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline,mtls-p256-verify,1000,396709.000,394198.790,395292.000,396958.000,369458.000,439041.000,258,,false,,,,mtls-p256,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline,scms-explicit-verify,1000,264417.000,264130.376,263792.000,264959.000,246250.000,292334.000,169,,false,,,,scms-explicit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline,scms-implicit-verify,1000,212958.000,213937.940,212084.000,213750.000,201667.000,242583.000,113,,false,,,,scms-implicit-ecqv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline,cl-rsa-present,1000,10491042.000,10502162.001,10487334.000,10495417.000,10212334.000,10870750.000,1098,,false,5,,,cl-rsa-2048,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
baseline,cl-rsa-verify,1000,8769209.000,8779864.838,8764875.000,8774625.000,8547541.000,9090000.000,1098,,false,5,,,cl-rsa-2048,,,,,,,,,,,,,,,,,8,,,,0,,,,,,,,,false,,,,,
baseline,cl-rsa-present,1000,9064917.000,9058854.431,9062416.000,9068167.000,8786083.000,9357625.000,1014,,false,5,,,cl-rsa-2048,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
baseline,cl-rsa-verify,1000,8250333.000,8263353.294,8247750.000,8254125.000,8000458.000,8888041.000,1014,,false,5,,,cl-rsa-2048,,,,,,,,,,,,,,,,,8,,,,2,,,,,,,,,false,,,,,
baseline,cl-rsa-present,1000,14199541.000,14193868.405,14194584.000,14203625.000,13900292.000,14652000.000,1468,,false,10,,,cl-rsa-2048,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
baseline,cl-rsa-verify,1000,12462750.000,12462059.358,12459500.000,12466083.000,12164042.000,12814708.000,1468,,false,10,,,cl-rsa-2048,,,,,,,,,,,,,,,,,13,,,,0,,,,,,,,,false,,,,,
baseline,cl-rsa-present,1000,10520959.000,10521730.834,10517250.000,10524792.000,10275875.000,10879625.000,1258,,false,10,,,cl-rsa-2048,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,
baseline,cl-rsa-verify,1000,10610083.000,10612853.268,10604875.000,10614500.000,10346792.000,10967166.000,1258,,false,10,,,cl-rsa-2048,,,,,,,,,,,,,,,,,13,,,,5,,,,,,,,,false,,,,,
primitive,shamir-split,1000,125.000,187.925,125.000,166.000,125.000,417.000,,,false,,,,,,,,,,,,,,,,2,,,,,,3,,,,,,,,,,,,,,,,,
primitive,shamir-split,1000,292.000,354.739,292.000,292.000,208.000,584.000,,,false,,,,,,,,,,,,,,,,3,,,,,,5,,,,,,,,,,,,,,,,,
primitive,shamir-split,1000,958.000,935.026,958.000,1000.000,666.000,1334.000,,,false,,,,,,,,,,,,,,,,5,,,,,,9,,,,,,,,,,,,,,,,,
pipeline,verify-pipeline,1000,1901084.000,1901084.000,1901084.000,1901084.000,1897334.000,1901084.000,296,,false,,,,,,,,,,,e0,0.000000,,,,,1.885542,,,mode-a,,,,,,,naive,,,0.011375,0.000000,,,,,,0.003750,,
pipeline,verify-pipeline,1000,2135958.000,2135958.000,2135958.000,2135958.000,2132084.000,2135958.000,296,,false,,,,,,,,,,,e0,0.000000,,,,,2.119666,,,mode-a,,,,,,,aggregate,,,0.012208,0.000000,,,,,,0.003874,,
pipeline,verify-pipeline,1000,1913958.000,1913958.000,1913958.000,1913958.000,1910292.000,1913958.000,392,,false,,,,,,,,,,,e1,0.000000,,,,,1.898750,,,mode-a,,,,,,,naive,,,0.011417,0.000000,,,,,,0.003666,,
pipeline,verify-pipeline,1000,2135125.000,2135125.000,2135125.000,2135125.000,2131374.000,2135125.000,392,,false,,,,,,,,,,,e1,0.000000,,,,,2.119083,,,mode-a,,,,,,,aggregate,,,0.012208,0.000000,,,,,,0.003751,,
pipeline,verify-pipeline,1000,2610417.000,2610417.000,2610417.000,2610417.000,2606876.000,2610417.000,520,,false,,,,,,,,,,,e2,0.665208,,,,,1.926000,,,mode-a,,,,,,,naive,,,0.011458,0.000000,,,,,,0.003541,,
pipeline,verify-pipeline,1000,2823000.000,2823000.000,2823000.000,2823000.000,2819208.000,2823000.000,520,,false,,,,,,,,,,,e2,0.667500,,,,,2.134708,,,mode-a,,,,,,,aggregate,,,0.012541,0.000000,,,,,,0.003792,,
pipeline,verify-pipeline,1000,1347500.000,1347500.000,1347500.000,1347500.000,1336833.000,1347500.000,572,,false,,,,,,,,,,,e0,0.000000,,,,,1.335791,,,mode-b,,,,,,,n/a,,,0.001042,0.000000,,,,,,0.010667,,
pipeline,verify-pipeline,1000,1341750.000,1341750.000,1341750.000,1341750.000,1330917.000,1341750.000,668,,false,,,,,,,,,,,e1,0.000000,,,,,1.329875,,,mode-b,,,,,,,n/a,,,0.001042,0.000000,,,,,,0.010833,,
pipeline,verify-pipeline,1000,1787417.000,1787417.000,1787417.000,1787417.000,1776541.000,1787417.000,700,,false,,,,,,,,,,,e2,0.000000,,,,,1.775458,,,mode-b,,,,,,,n/a,,,0.001042,0.000000,,,,,,0.010876,,
