mechanism,attack,epsilon,delta,n_observations,trials,seed,auc,advantage,advantage_ci_lo,advantage_ci_hi,auc_ci_lo,auc_ci_hi,train_pool,test_pool,mean_release_ns,sensitivity_ns,bin_ns
m-bucket,mean-threshold,0.5,0.000001,256,1500,0,0.489610,0.020780,0.021385,0.064833,0.467583,0.510692,2000,2000,15795294.5,509626,94619
m-bucket,mean-threshold,0.5,0.000001,256,1000,1,0.501018,0.002036,0.051582,0.052493,0.474209,0.526246,2000,2000,15795716.5,509626,94619
m-bucket,mean-threshold,0.5,0.000001,256,1000,2,0.491982,0.016035,0.034458,0.065008,0.467496,0.517229,2000,2000,15794520.1,509626,94619
m-geo,likelihood-ratio,1,0.000001,1,3000,0,0.526047,0.052095,0.022540,0.079922,0.511270,0.539961,2000,2000,8418849.5,509626,67143
m-geo,likelihood-ratio,1,0.000001,1,3000,1,0.537740,0.075479,0.046026,0.102352,0.523013,0.551176,2000,2000,8419964.6,509626,67377
m-geo,likelihood-ratio,1,0.000001,1,1000,2,0.503466,0.006932,0.043466,0.055611,0.478267,0.527806,2000,2000,8398700.7,509626,67451
m-geo,mean-threshold,1,0.000001,1,2000,0,0.487151,0.025698,0.009831,0.060427,0.469786,0.504916,2000,2000,8422016.5,509626,67143
m-geo,mean-threshold,1,0.000001,1,3000,1,0.447935,0.104131,0.076433,0.131572,0.434214,0.461784,2000,2000,8419964.6,509626,67377
m-geo,mean-threshold,1,0.000001,1,3000,2,0.447000,0.106000,0.076294,0.134117,0.432941,0.461853,2000,2000,8416850.7,509626,67451
m-geo,likelihood-ratio,1,0.000001,4,3000,0,0.568448,0.136896,0.108050,0.166500,0.554025,0.583250,2000,2000,8417071.7,509626,67143
m-geo,likelihood-ratio,1,0.000001,4,3000,1,0.548190,0.096380,0.067808,0.125038,0.533904,0.562519,2000,2000,8417174.6,509626,67377
m-geo,likelihood-ratio,1,0.000001,4,3000,2,0.556602,0.113203,0.085701,0.141325,0.542850,0.570663,2000,2000,8412854.9,509626,67451
m-geo,mean-threshold,1,0.000001,4,3000,0,0.425439,0.149123,0.119456,0.178904,0.410548,0.440272,2000,2000,8417071.7,509626,67143
m-geo,mean-threshold,1,0.000001,4,3000,1,0.430452,0.139097,0.111456,0.167525,0.416237,0.444272,2000,2000,8417174.6,509626,67377
m-geo,mean-threshold,1,0.000001,4,3000,2,0.438867,0.122266,0.092448,0.149190,0.425405,0.453776,2000,2000,8412854.9,509626,67451
m-geo,likelihood-ratio,1,0.000001,16,2500,0,0.639415,0.278830,0.249071,0.309047,0.624536,0.654523,2000,2000,8419803.1,509626,67143
m-geo,likelihood-ratio,1,0.000001,16,3000,1,0.597451,0.194901,0.166158,0.223355,0.583079,0.611678,2000,2000,8415085.3,509626,67377
m-geo,likelihood-ratio,1,0.000001,16,3000,2,0.609943,0.219886,0.193248,0.248961,0.596624,0.624481,2000,2000,8416116.3,509626,67451
m-geo,mean-threshold,1,0.000001,16,2500,0,0.360010,0.279979,0.250408,0.309320,0.345340,0.374796,2000,2000,8419803.1,509626,67143
m-geo,mean-threshold,1,0.000001,16,3000,1,0.374415,0.251170,0.221841,0.279754,0.360123,0.389080,2000,2000,8415085.3,509626,67377
m-geo,mean-threshold,1,0.000001,16,2500,2,0.363586,0.272828,0.242076,0.301518,0.349241,0.378962,2000,2000,8415597.6,509626,67451
m-geo,likelihood-ratio,1,0.000001,64,2500,0,0.744528,0.489056,0.461952,0.515100,0.730976,0.757550,2000,2000,8417251.9,509626,67143
m-geo,likelihood-ratio,1,0.000001,64,2500,1,0.691167,0.382334,0.355655,0.411477,0.677828,0.705739,2000,2000,8416926.7,509626,67377
m-geo,likelihood-ratio,1,0.000001,64,2500,2,0.707571,0.415141,0.385592,0.444389,0.692796,0.722195,2000,2000,8415072.9,509626,67451
m-geo,mean-threshold,1,0.000001,64,2500,0,0.261281,0.477437,0.450257,0.504886,0.247557,0.274872,2000,2000,8417251.9,509626,67143
m-geo,mean-threshold,1,0.000001,64,2000,1,0.257911,0.484178,0.454851,0.514829,0.242586,0.272575,2000,2000,8416001.9,509626,67377
m-geo,mean-threshold,1,0.000001,64,2500,2,0.253944,0.492112,0.464869,0.519184,0.240408,0.267565,2000,2000,8415072.9,509626,67451
m-geo,likelihood-ratio,1,0.000001,256,1000,0,0.902470,0.804940,0.779064,0.829498,0.889532,0.914749,2000,2000,8417160.6,509626,67143
m-geo,likelihood-ratio,1,0.000001,256,1500,1,0.850879,0.701757,0.675407,0.728219,0.837704,0.864109,2000,2000,8417425.0,509626,67377
m-geo,likelihood-ratio,1,0.000001,256,1500,2,0.854651,0.709302,0.681036,0.734168,0.840518,0.867084,2000,2000,8415859.3,509626,67451
m-geo,mean-threshold,1,0.000001,256,1000,0,0.098779,0.802442,0.777100,0.829032,0.085484,0.111450,2000,2000,8417160.6,509626,67143
m-geo,mean-threshold,1,0.000001,256,1000,1,0.092500,0.815000,0.789268,0.838934,0.080533,0.105366,2000,2000,8417466.0,509626,67377
m-geo,mean-threshold,1,0.000001,256,1000,2,0.096731,0.806538,0.778986,0.832196,0.083902,0.110507,2000,2000,8416032.5,509626,67451
m-bucket,likelihood-ratio,1,0.000001,1,1000,0,0.497889,0.004223,0.042194,0.053342,0.473329,0.521097,2000,2000,9187027.9,509626,94619
m-bucket,likelihood-ratio,1,0.000001,1,1000,1,0.496563,0.006874,0.041369,0.054432,0.472784,0.520684,2000,2000,9166642.9,509626,94619
m-bucket,likelihood-ratio,1,0.000001,1,1000,2,0.501625,0.003251,0.043624,0.048738,0.478188,0.524369,2000,2000,9143964.5,509626,94619
m-bucket,mean-threshold,1,0.000001,1,1000,0,0.495652,0.008695,0.040534,0.057027,0.471486,0.520267,2000,2000,9187027.9,509626,94619
m-bucket,mean-threshold,1,0.000001,1,1500,1,0.506020,0.012040,0.023940,0.052284,0.488030,0.526142,2000,2000,9172418.6,509626,94619
m-bucket,mean-threshold,1,0.000001,1,1000,2,0.506690,0.013379,0.033761,0.059352,0.483119,0.529676,2000,2000,9143964.5,509626,94619
m-bucket,likelihood-ratio,1,0.000001,4,1500,0,0.493855,0.012290,0.027573,0.053853,0.473073,0.513787,2000,2000,9173522.8,509626,94619
m-bucket,likelihood-ratio,1,0.000001,4,1000,1,0.507152,0.014304,0.037287,0.065026,0.481357,0.532513,2000,2000,9166005.8,509626,94619
m-bucket,likelihood-ratio,1,0.000001,4,1000,2,0.496383,0.007233,0.044339,0.054937,0.472531,0.522169,2000,2000,9161355.5,509626,94619
m-bucket,mean-threshold,1,0.000001,4,3000,0,0.482132,0.035736,0.007617,0.065281,0.467359,0.496192,2000,2000,9172291.2,509626,94619
m-bucket,mean-threshold,1,0.000001,4,2000,1,0.484752,0.030496,0.006370,0.064915,0.467543,0.503185,2000,2000,9172535.4,509626,94619
m-bucket,mean-threshold,1,0.000001,4,1000,2,0.485443,0.029114,0.019654,0.076775,0.461612,0.509827,2000,2000,9161355.5,509626,94619
m-bucket,likelihood-ratio,1,0.000001,16,1000,0,0.514237,0.028474,0.020336,0.078908,0.489832,0.539454,2000,2000,9168792.8,509626,94619
m-bucket,likelihood-ratio,1,0.000001,16,1000,1,0.486795,0.026411,0.022492,0.076519,0.461740,0.511246,2000,2000,9168633.6,509626,94619
m-bucket,likelihood-ratio,1,0.000001,16,1000,2,0.499511,0.000978,0.046844,0.053421,0.473289,0.523422,2000,2000,9166308.4,509626,94619
m-bucket,mean-threshold,1,0.000001,16,2000,0,0.492630,0.014741,0.023254,0.052736,0.473632,0.511627,2000,2000,9174199.7,509626,94619
m-bucket,mean-threshold,1,0.000001,16,2500,1,0.487218,0.025564,0.007160,0.056947,0.471527,0.503580,2000,2000,9170637.1,509626,94619
m-bucket,mean-threshold,1,0.000001,16,1000,2,0.485458,0.029084,0.022855,0.080399,0.459801,0.511428,2000,2000,9166308.4,509626,94619
m-bucket,likelihood-ratio,1,0.000001,64,1500,0,0.510215,0.020431,0.022439,0.061399,0.488780,0.530699,2000,2000,9168283.2,509626,94619
m-bucket,likelihood-ratio,1,0.000001,64,1500,1,0.505120,0.010241,0.030443,0.049968,0.484779,0.524984,2000,2000,9171755.0,509626,94619
m-bucket,likelihood-ratio,1,0.000001,64,1000,2,0.500865,0.001730,0.048840,0.049792,0.475580,0.524896,2000,2000,9167901.0,509626,94619
m-bucket,mean-threshold,1,0.000001,64,1500,0,0.486477,0.027046,0.013270,0.066600,0.466700,0.506635,2000,2000,9168283.2,509626,94619
m-bucket,mean-threshold,1,0.000001,64,1000,1,0.496243,0.007514,0.043329,0.059083,0.470459,0.521664,2000,2000,9170206.3,509626,94619
m-bucket,mean-threshold,1,0.000001,64,3000,2,0.474665,0.050671,0.021313,0.080573,0.459713,0.489344,2000,2000,9168556.6,509626,94619
m-bucket,likelihood-ratio,1,0.000001,256,1000,0,0.499021,0.001958,0.048360,0.053308,0.473346,0.524180,2000,2000,9169749.4,509626,94619
m-bucket,likelihood-ratio,1,0.000001,256,2000,1,0.492621,0.014757,0.021660,0.051351,0.474324,0.510830,2000,2000,9171659.0,509626,94619
m-bucket,likelihood-ratio,1,0.000001,256,1000,2,0.490719,0.018562,0.033922,0.070450,0.464775,0.516961,2000,2000,9170169.4,509626,94619
m-bucket,mean-threshold,1,0.000001,256,3000,0,0.471696,0.056608,0.028954,0.086473,0.456763,0.485523,2000,2000,9170774.0,509626,94619
m-bucket,mean-threshold,1,0.000001,256,3000,1,0.457359,0.085282,0.055717,0.114980,0.442510,0.472141,2000,2000,9171794.2,509626,94619
m-bucket,mean-threshold,1,0.000001,256,3000,2,0.469211,0.061578,0.033263,0.090549,0.454726,0.483368,2000,2000,9171744.8,509626,94619
m-geo,likelihood-ratio,2,0.000001,1,3000,0,0.554861,0.109723,0.082988,0.137913,0.541494,0.568956,2000,2000,5074300.1,509626,35066
m-geo,likelihood-ratio,2,0.000001,1,3000,1,0.581909,0.163818,0.135511,0.191242,0.567755,0.595621,2000,2000,5074902.1,509626,34451
m-geo,likelihood-ratio,2,0.000001,1,3000,2,0.579377,0.158754,0.130254,0.186372,0.565127,0.593186,2000,2000,5072038.7,509626,35051
m-geo,mean-threshold,2,0.000001,1,3000,0,0.448250,0.103500,0.076420,0.130360,0.434820,0.461790,2000,2000,5074300.1,509626,35066
m-geo,mean-threshold,2,0.000001,1,3000,1,0.410019,0.179963,0.152772,0.207909,0.396046,0.423614,2000,2000,5074902.1,509626,34451
m-geo,mean-threshold,2,0.000001,1,3000,2,0.409504,0.180992,0.151552,0.208652,0.395674,0.424224,2000,2000,5072038.7,509626,35051
m-geo,likelihood-ratio,2,0.000001,4,2500,0,0.640264,0.280529,0.251368,0.311254,0.625684,0.655627,2000,2000,5073467.5,509626,35066
m-geo,likelihood-ratio,2,0.000001,4,3000,1,0.633534,0.267068,0.240577,0.296017,0.620289,0.648008,2000,2000,5072837.1,509626,34451
m-geo,likelihood-ratio,2,0.000001,4,3000,2,0.635097,0.270195,0.242696,0.297005,0.621348,0.648503,2000,2000,5070596.9,509626,35051
m-geo,mean-threshold,2,0.000001,4,2500,0,0.366423,0.267155,0.237824,0.296992,0.351504,0.381088,2000,2000,5073467.5,509626,35066
m-geo,mean-threshold,2,0.000001,4,3000,1,0.367108,0.265784,0.238973,0.292684,0.353658,0.380513,2000,2000,5072837.1,509626,34451
m-geo,mean-threshold,2,0.000001,4,3000,2,0.376531,0.246939,0.218253,0.273204,0.363398,0.390873,2000,2000,5070596.9,509626,35051
m-geo,likelihood-ratio,2,0.000001,16,2000,0,0.782998,0.565995,0.538309,0.592469,0.769154,0.796234,2000,2000,5074063.5,509626,35066
m-geo,likelihood-ratio,2,0.000001,16,2500,1,0.756916,0.513833,0.487197,0.540036,0.743599,0.770018,2000,2000,5071559.5,509626,34451
m-geo,likelihood-ratio,2,0.000001,16,2000,2,0.751792,0.503585,0.473516,0.533438,0.736758,0.766719,2000,2000,5072160.5,509626,35051
m-geo,mean-threshold,2,0.000001,16,2000,0,0.241245,0.517511,0.488294,0.545233,0.227384,0.255853,2000,2000,5074063.5,509626,35066
m-geo,mean-threshold,2,0.000001,16,2500,1,0.257903,0.484194,0.455145,0.510855,0.244572,0.272428,2000,2000,5071559.5,509626,34451
m-geo,mean-threshold,2,0.000001,16,2500,2,0.253055,0.493890,0.467828,0.519006,0.240497,0.266086,2000,2000,5072239.3,509626,35051
m-geo,likelihood-ratio,2,0.000001,64,1000,0,0.925676,0.851352,0.829232,0.872906,0.914616,0.936453,2000,2000,5073902.0,509626,35066
m-geo,likelihood-ratio,2,0.000001,64,1000,1,0.919297,0.838594,0.815008,0.861724,0.907504,0.930862,2000,2000,5072245.0,509626,34451
m-geo,likelihood-ratio,2,0.000001,64,1000,2,0.911822,0.823644,0.798938,0.847872,0.899469,0.923936,2000,2000,5071817.2,509626,35051
m-geo,mean-threshold,2,0.000001,64,1000,0,0.093000,0.814000,0.788936,0.839114,0.080443,0.105532,2000,2000,5073902.0,509626,35066
m-geo,mean-threshold,2,0.000001,64,1000,1,0.093320,0.813360,0.789222,0.837854,0.081073,0.105389,2000,2000,5072245.0,509626,34451
m-geo,mean-threshold,2,0.000001,64,1000,2,0.102951,0.794098,0.765990,0.821416,0.089292,0.117005,2000,2000,5071817.2,509626,35051
m-geo,likelihood-ratio,2,0.000001,256,1000,0,0.997995,0.995990,0.993624,0.997924,0.996812,0.998962,2000,2000,5073110.5,509626,35066
m-geo,likelihood-ratio,2,0.000001,256,1000,1,0.997024,0.994048,0.991326,0.996418,0.995663,0.998209,2000,2000,5073206.6,509626,34451
m-geo,likelihood-ratio,2,0.000001,256,1000,2,0.997094,0.994188,0.991754,0.996216,0.995877,0.998108,2000,2000,5072470.8,509626,35051
m-geo,mean-threshold,2,0.000001,256,1000,0,0.005852,0.988296,0.983880,0.992196,0.003902,0.008060,2000,2000,5073110.5,509626,35066
m-geo,mean-threshold,2,0.000001,256,1000,1,0.005104,0.989792,0.985598,0.993398,0.003301,0.007201,2000,2000,5073206.6,509626,34451
m-geo,mean-threshold,2,0.000001,256,1000,2,0.004743,0.990514,0.986454,0.994068,0.002966,0.006773,2000,2000,5072470.8,509626,35051
m-bucket,likelihood-ratio,2,0.000001,1,1000,0,0.498522,0.002956,0.033440,0.038991,0.480505,0.516720,2000,2000,5602063.8,509626,1
m-bucket,likelihood-ratio,2,0.000001,1,1000,1,0.496638,0.006725,0.029598,0.043171,0.478415,0.514799,2000,2000,5604866.7,509626,1
m-bucket,likelihood-ratio,2,0.000001,1,1000,2,0.497362,0.005277,0.031022,0.042716,0.478642,0.515511,2000,2000,5600534.9,509626,1
m-bucket,mean-threshold,2,0.000001,1,1000,0,0.499500,0.001000,0.035269,0.037264,0.482366,0.518632,2000,2000,5602063.8,509626,1
m-bucket,mean-threshold,2,0.000001,1,1000,1,0.502988,0.005975,0.031735,0.042956,0.484133,0.521478,2000,2000,5604866.7,509626,1
m-bucket,mean-threshold,2,0.000001,1,1000,2,0.502749,0.005497,0.032434,0.042571,0.483783,0.521285,2000,2000,5600534.9,509626,1
m-bucket,likelihood-ratio,2,0.000001,4,1000,0,0.508978,0.017956,0.032136,0.067201,0.483932,0.533601,2000,2000,5602446.0,509626,1
m-bucket,likelihood-ratio,2,0.000001,4,3000,1,0.520138,0.040276,0.011493,0.069674,0.505746,0.534837,2000,2000,5603401.6,509626,1
m-bucket,likelihood-ratio,2,0.000001,4,1000,2,0.512212,0.024424,0.023238,0.075118,0.488381,0.537559,2000,2000,5603656.4,509626,1
m-bucket,mean-threshold,2,0.000001,4,1000,0,0.486528,0.026944,0.021922,0.077676,0.461162,0.510961,2000,2000,5602446.0,509626,1
m-bucket,mean-threshold,2,0.000001,4,3000,1,0.481126,0.037748,0.009269,0.066625,0.466687,0.495365,2000,2000,5603401.6,509626,1
m-bucket,mean-threshold,2,0.000001,4,1000,2,0.489592,0.020816,0.025570,0.073584,0.463208,0.512785,2000,2000,5603656.4,509626,1
m-bucket,likelihood-ratio,2,0.000001,16,1000,0,0.505631,0.011262,0.040636,0.061483,0.479682,0.530741,2000,2000,5603895.3,509626,1
m-bucket,likelihood-ratio,2,0.000001,16,3000,1,0.520964,0.041929,0.011881,0.071248,0.505941,0.535624,2000,2000,5603470.6,509626,1
m-bucket,likelihood-ratio,2,0.000001,16,3000,2,0.515601,0.031203,0.002757,0.060835,0.501379,0.530418,2000,2000,5602727.4,509626,1
m-bucket,mean-threshold,2,0.000001,16,1000,0,0.489550,0.020901,0.030130,0.071816,0.464092,0.515065,2000,2000,5603895.3,509626,1
m-bucket,mean-threshold,2,0.000001,16,3000,1,0.477261,0.045477,0.013924,0.073644,0.463178,0.493038,2000,2000,5603470.6,509626,1
m-bucket,mean-threshold,2,0.000001,16,3000,2,0.480830,0.038341,0.009241,0.066606,0.466697,0.495380,2000,2000,5602727.4,509626,1
m-bucket,likelihood-ratio,2,0.000001,64,1000,0,0.498229,0.003543,0.049393,0.054264,0.472868,0.524697,2000,2000,5603202.5,509626,1
m-bucket,likelihood-ratio,2,0.000001,64,1500,1,0.514130,0.028260,0.010404,0.068885,0.494798,0.534442,2000,2000,5604004.1,509626,1
m-bucket,likelihood-ratio,2,0.000001,64,3000,2,0.538926,0.077852,0.048027,0.106322,0.524014,0.553161,2000,2000,5603570.1,509626,1
m-bucket,mean-threshold,2,0.000001,64,3000,0,0.466875,0.066250,0.037441,0.094001,0.452999,0.481280,2000,2000,5603280.8,509626,1
m-bucket,mean-threshold,2,0.000001,64,3000,1,0.457904,0.084192,0.054634,0.113133,0.443434,0.472683,2000,2000,5604239.0,509626,1
m-bucket,mean-threshold,2,0.000001,64,3000,2,0.470572,0.058856,0.029637,0.086512,0.456744,0.485181,2000,2000,5603570.1,509626,1
m-bucket,likelihood-ratio,2,0.000001,256,3000,0,0.527434,0.054868,0.026359,0.084107,0.513179,0.542054,2000,2000,5603557.5,509626,1
m-bucket,likelihood-ratio,2,0.000001,256,3000,1,0.551320,0.102641,0.072490,0.130469,0.536245,0.565235,2000,2000,5603848.8,509626,1
m-bucket,likelihood-ratio,2,0.000001,256,3000,2,0.568428,0.136855,0.107097,0.164576,0.553548,0.582288,2000,2000,5604199.2,509626,1
m-bucket,mean-threshold,2,0.000001,256,3000,0,0.434422,0.131155,0.100811,0.160009,0.419996,0.449594,2000,2000,5603557.5,509626,1
m-bucket,mean-threshold,2,0.000001,256,3000,1,0.436084,0.127831,0.098618,0.156392,0.421804,0.450691,2000,2000,5603848.8,509626,1
m-bucket,mean-threshold,2,0.000001,256,3000,2,0.427391,0.145219,0.117009,0.173239,0.413381,0.441495,2000,2000,5604199.2,509626,1
m-geo,likelihood-ratio,5,0.000001,1,3000,0,0.635966,0.271931,0.245407,0.298123,0.622703,0.649061,2000,2000,3067570.9,509626,16502
m-geo,likelihood-ratio,5,0.000001,1,2500,1,0.679389,0.358778,0.329769,0.387665,0.664885,0.693833,2000,2000,3067430.3,509626,16367
m-geo,likelihood-ratio,5,0.000001,1,2500,2,0.670824,0.341647,0.313162,0.369967,0.656581,0.684983,2000,2000,3065302.5,509626,16577
m-geo,mean-threshold,5,0.000001,1,3000,0,0.355108,0.289783,0.263312,0.315164,0.342418,0.368344,2000,2000,3067570.9,509626,16502
m-geo,mean-threshold,5,0.000001,1,2500,1,0.317620,0.364760,0.335671,0.393510,0.303245,0.332165,2000,2000,3067430.3,509626,16367
m-geo,mean-threshold,5,0.000001,1,2500,2,0.322708,0.354584,0.324864,0.382992,0.308504,0.337568,2000,2000,3065302.5,509626,16577
m-geo,likelihood-ratio,5,0.000001,4,2000,0,0.803686,0.607371,0.579006,0.634014,0.789503,0.817007,2000,2000,3068001.8,509626,16502
m-geo,likelihood-ratio,5,0.000001,4,2000,1,0.802509,0.605017,0.576116,0.630846,0.788058,0.815423,2000,2000,3066009.9,509626,16367
m-geo,likelihood-ratio,5,0.000001,4,2000,2,0.786505,0.573011,0.545833,0.601209,0.772917,0.800604,2000,2000,3064933.9,509626,16577
m-geo,mean-threshold,5,0.000001,4,2000,0,0.210838,0.578324,0.549781,0.604917,0.197542,0.225109,2000,2000,3068001.8,509626,16502
m-geo,mean-threshold,5,0.000001,4,2000,1,0.215593,0.568814,0.540054,0.596376,0.201812,0.229973,2000,2000,3066009.9,509626,16367
m-geo,mean-threshold,5,0.000001,4,2000,2,0.235857,0.528285,0.498418,0.556520,0.221740,0.250791,2000,2000,3064933.9,509626,16577
m-geo,likelihood-ratio,5,0.000001,16,1000,0,0.958457,0.916914,0.900370,0.931562,0.950185,0.965781,2000,2000,3067088.7,509626,16502
m-geo,likelihood-ratio,5,0.000001,16,1000,1,0.954591,0.909182,0.892916,0.924914,0.946458,0.962457,2000,2000,3066028.0,509626,16367
m-geo,likelihood-ratio,5,0.000001,16,1000,2,0.957126,0.914252,0.898070,0.930314,0.949035,0.965157,2000,2000,3065424.3,509626,16577
m-geo,mean-threshold,5,0.000001,16,1000,0,0.055673,0.888654,0.869898,0.905834,0.047083,0.065051,2000,2000,3067088.7,509626,16502
m-geo,mean-threshold,5,0.000001,16,1000,1,0.068176,0.863648,0.841668,0.883424,0.058288,0.079166,2000,2000,3066028.0,509626,16367
m-geo,mean-threshold,5,0.000001,16,1000,2,0.063203,0.873594,0.851686,0.893594,0.053203,0.074157,2000,2000,3065424.3,509626,16577
m-geo,likelihood-ratio,5,0.000001,64,1000,0,0.999671,0.999342,0.998296,0.999898,0.999148,0.999949,2000,2000,3066950.5,509626,16502
m-geo,likelihood-ratio,5,0.000001,64,1000,1,0.999689,0.999378,0.998872,0.999750,0.999436,0.999875,2000,2000,3066167.6,509626,16367
m-geo,likelihood-ratio,5,0.000001,64,1000,2,0.999480,0.998960,0.998106,0.999574,0.999053,0.999787,2000,2000,3065775.8,509626,16577
m-geo,mean-threshold,5,0.000001,64,1000,0,0.000718,0.998564,0.997462,0.999394,0.000303,0.001269,2000,2000,3066950.5,509626,16502
m-geo,mean-threshold,5,0.000001,64,1000,1,0.001187,0.997626,0.996088,0.998966,0.000517,0.001956,2000,2000,3066167.6,509626,16367
m-geo,mean-threshold,5,0.000001,64,1000,2,0.001282,0.997436,0.995846,0.998652,0.000674,0.002077,2000,2000,3065775.8,509626,16577
m-geo,likelihood-ratio,5,0.000001,256,1000,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2000,2000,3066673.5,509626,16502
m-geo,likelihood-ratio,5,0.000001,256,1000,1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2000,2000,3066650.2,509626,16367
m-geo,likelihood-ratio,5,0.000001,256,1000,2,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2000,2000,3066321.7,509626,16577
m-geo,mean-threshold,5,0.000001,256,1000,0,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,2000,2000,3066673.5,509626,16502
m-geo,mean-threshold,5,0.000001,256,1000,1,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,2000,2000,3066650.2,509626,16367
m-geo,mean-threshold,5,0.000001,256,1000,2,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,2000,2000,3066321.7,509626,16577
m-bucket,likelihood-ratio,5,0.000001,1,1000,0,0.503476,0.006953,0.002985,0.017829,0.498507,0.508915,2000,2000,3566107.9,509626,1
m-bucket,likelihood-ratio,5,0.000001,1,1000,1,0.505464,0.010928,0.000018,0.021835,0.500009,0.510918,2000,2000,3563814.6,509626,1
m-bucket,likelihood-ratio,5,0.000001,1,1000,2,0.503469,0.006938,0.003968,0.017856,0.498016,0.508928,2000,2000,3567636.8,509626,1
m-bucket,mean-threshold,5,0.000001,1,1000,0,0.496524,0.006953,0.002985,0.017829,0.491086,0.501493,2000,2000,3566107.9,509626,1
m-bucket,mean-threshold,5,0.000001,1,1000,1,0.493536,0.012928,0.002009,0.023876,0.488062,0.498995,2000,2000,3563814.6,509626,1
m-bucket,mean-threshold,5,0.000001,1,1000,2,0.496531,0.006938,0.003968,0.017856,0.491072,0.501984,2000,2000,3567636.8,509626,1
m-bucket,likelihood-ratio,5,0.000001,4,1000,0,0.519282,0.038564,0.018694,0.058890,0.509347,0.529445,2000,2000,3564260.5,509626,1
m-bucket,likelihood-ratio,5,0.000001,4,1000,1,0.507306,0.014612,0.007586,0.036810,0.496207,0.518405,2000,2000,3564324.2,509626,1
m-bucket,likelihood-ratio,5,0.000001,4,1000,2,0.518908,0.037816,0.016364,0.059815,0.508182,0.529907,2000,2000,3565534.6,509626,1
m-bucket,mean-threshold,5,0.000001,4,1000,0,0.481808,0.036384,0.016699,0.055959,0.472021,0.491650,2000,2000,3564260.5,509626,1
m-bucket,mean-threshold,5,0.000001,4,1000,1,0.492165,0.015669,0.006645,0.037846,0.481077,0.503323,2000,2000,3564324.2,509626,1
m-bucket,mean-threshold,5,0.000001,4,1000,2,0.481487,0.037026,0.015672,0.058242,0.470879,0.492164,2000,2000,3565534.6,509626,1
m-bucket,likelihood-ratio,5,0.000001,16,2000,0,0.549266,0.098532,0.072410,0.124773,0.536205,0.562387,2000,2000,3565040.9,509626,1
m-bucket,likelihood-ratio,5,0.000001,16,2000,1,0.558579,0.117158,0.091181,0.143413,0.545590,0.571706,2000,2000,3564618.9,509626,1
m-bucket,likelihood-ratio,5,0.000001,16,2000,2,0.546584,0.093168,0.067274,0.118464,0.533637,0.559232,2000,2000,3565343.5,509626,1
m-bucket,mean-threshold,5,0.000001,16,1500,0,0.453054,0.093892,0.064180,0.123460,0.438270,0.467910,2000,2000,3564940.0,509626,1
m-bucket,mean-threshold,5,0.000001,16,2000,1,0.443240,0.113520,0.087705,0.139773,0.430113,0.456147,2000,2000,3564618.9,509626,1
m-bucket,mean-threshold,5,0.000001,16,1500,2,0.459403,0.081194,0.050765,0.110650,0.444675,0.474617,2000,2000,3565205.5,509626,1
m-bucket,likelihood-ratio,5,0.000001,64,2500,0,0.646085,0.292170,0.262557,0.322372,0.631279,0.661186,2000,2000,3565085.5,509626,1
m-bucket,likelihood-ratio,5,0.000001,64,2500,1,0.654575,0.309150,0.279522,0.339019,0.639761,0.669509,2000,2000,3564956.5,509626,1
m-bucket,likelihood-ratio,5,0.000001,64,2500,2,0.657786,0.315572,0.286767,0.343726,0.643383,0.671863,2000,2000,3564985.2,509626,1
m-bucket,mean-threshold,5,0.000001,64,2500,0,0.371339,0.257323,0.228723,0.286836,0.356582,0.385638,2000,2000,3565085.5,509626,1
m-bucket,mean-threshold,5,0.000001,64,2500,1,0.361708,0.276584,0.247569,0.305948,0.347026,0.376216,2000,2000,3564956.5,509626,1
m-bucket,mean-threshold,5,0.000001,64,2500,2,0.361476,0.277047,0.249552,0.304999,0.347501,0.375224,2000,2000,3564985.2,509626,1
m-bucket,likelihood-ratio,5,0.000001,256,2000,0,0.786278,0.572556,0.545579,0.599245,0.772790,0.799623,2000,2000,3565187.2,509626,1
m-bucket,likelihood-ratio,5,0.000001,256,2000,1,0.805569,0.611139,0.585088,0.638277,0.792544,0.819138,2000,2000,3565044.9,509626,1
m-bucket,likelihood-ratio,5,0.000001,256,2000,2,0.788080,0.576160,0.548454,0.604203,0.774227,0.802102,2000,2000,3565006.6,509626,1
m-bucket,mean-threshold,5,0.000001,256,2000,0,0.233290,0.533420,0.505465,0.561863,0.219068,0.247268,2000,2000,3565187.2,509626,1
m-bucket,mean-threshold,5,0.000001,256,2000,1,0.225104,0.549791,0.522535,0.578329,0.210835,0.238733,2000,2000,3565044.9,509626,1
m-bucket,mean-threshold,5,0.000001,256,2000,2,0.231269,0.537462,0.509205,0.565284,0.217358,0.245398,2000,2000,3565006.6,509626,1
